C,gamma,cv_mean,cv_std,cv_min,cv_max
9.25,0.0155,0.8430022325277288,0.0081522045642517,0.8288030946254586,0.8554678186958109
9.75,0.015,0.8430005018400498,0.0086152113969748,0.8278194406736789,0.85598865550039
7.6,0.0135,0.8429965895738062,0.00842407177073543,0.8271193742769781,0.857266499934425
10.0,0.0135,0.8429889490086141,0.0081912766008223,0.8283799116598239,0.8558501596647037
9.0,0.0125,0.8429609436247373,0.0079747721293701,0.8275617289264297,0.8567845330749697
7.75,0.0155,0.8429564654342222,0.0080801978210276,0.8272982641614749,0.8561673349728567
9.75,0.012,0.8429336085015311,0.0077220909343101,0.8276129878185507,0.8557028170819013
7.4,0.0135,0.8429273818530427,0.008199689619142529,0.8277024871632017,0.8567163377745883
9.0,0.0155,0.8429232127192734,0.0082730917792943,0.828285740011936,0.8548627139020346
9.0,0.015,0.8429192238688905,0.0086815285159637,0.8281799998971678,0.8566615281109613
9.75,0.014,0.842901574994769,0.0083453890639388,0.8272985832215956,0.8553657404590536
8.85,0.0125,0.8428954011144913,0.008245411715616,0.826520940095897,0.8572886610867269
9.25,0.015,0.8428912263783773,0.0086182036011598,0.8283345879011594,0.8571243746735597
8.5,0.0155,0.8428760731569459,0.0083334827571717,0.8282656872011193,0.8555331103155807
9.5,0.012,0.8428583664675569,0.0082117501656542,0.8271064261159953,0.8573614313588025
10.0,0.0155,0.8428569591498593,0.0078747556520026,0.8288767031533946,0.8543440143338127
7.5,0.0135,0.842851385608572,0.0084736548841742,0.8271193742769781,0.857266499934425
9.5,0.015,0.8428495161367786,0.0086986025483925,0.8272410236098943,0.8559669941837303
8.85,0.0155,0.8428479199064494,0.0083435766516527,0.8283020284239877,0.8549051043770266
10.0,0.015,0.8428246879564985,0.0080738583062006,0.8282833386964665,0.8560177619805965
8.75,0.0125,0.8428139938413579,0.0083397465192129,0.826520940095897,0.8573119921165955
9.75,0.0145,0.8427965924192774,0.0087451878037162,0.8275739655001982,0.8566040558394479
10.0,0.0145,0.8427819199984891,0.0086219000280143,0.8276303635070791,0.8565179765919162
9.25,0.012,0.8427476516772171,0.0084520835885029,0.8271334677366857,0.8579338345507452
8.5,0.0125,0.8426716883872546,0.0085787833686851,0.8266072039473387,0.8573573512076109
9.5,0.0155,0.8426663543426434,0.0078271302277962,0.8282833386964665,0.8537811941587342
7.75,0.013,0.8426400067083362,0.0083690560086996,0.8277557336797782,0.8578107548908188
9.0,0.0115,0.8426377483517496,0.0084249545251136,0.8266404282754694,0.8601338729706579
8.0,0.013,0.8425906892829824,0.0085426422431668,0.826514688225815,0.8572678451947537
9.75,0.0155,0.842567691939554,0.007997798424808,0.8276946749906517,0.8537811941587342
8.5,0.0115,0.8425562644170697,0.0082733295983887,0.8282798778497525,0.8591401923165282
9.0,0.012,0.8425400541697556,0.0087751501441893,0.826024403109868,0.8590843478415333
10.0,0.0115,0.8425351824022637,0.0082334626615285,0.8276536796120091,0.8580126808619608
8.5,0.012,0.8425204016056695,0.0084648819004555,0.8277108390436859,0.8585154389655982
9.25,0.0115,0.8424832063794029,0.0084047348223368,0.8271524422576069,0.8590716685284578
8.85,0.012,0.8424659149860578,0.0087074187255987,0.8254897429189328,0.8590843478415333
8.25,0.0125,0.8424170479826044,0.008545841319511,0.8260720907597481,0.858507694607899
7.5,0.013,0.8424049909828744,0.0083587037292193,0.8277557336797782,0.8568170831628974
8.75,0.012,0.8423993632183705,0.0087746184543838,0.8254897429189328,0.8590843478415333
8.0,0.012,0.8423967402510049,0.0080560988254543,0.8288847909079221,0.8579278674819113
8.75,0.0115,0.8423836861938414,0.0083968008802546,0.8271868237011641,0.8596127940695834
8.85,0.0115,0.8423163016593459,0.0083020933542255,0.8266807671124717,0.859092176853745
8.25,0.012,0.8423013385025894,0.0084228453619416,0.8272001121468812,0.859092176853745
9.5,0.0115,0.8422889798162692,0.0083609682904509,0.8265918803288859,0.8590716685284578
7.75,0.012,0.8422704623553634,0.0080051505941189,0.8294776466822292,0.85855130887842
8.25,0.0115,0.8422445109283553,0.00842799738464,0.8283567237651815,0.85855130887842
8.0,0.0125,0.8422355607778486,0.0086797075889346,0.8260484238077099,0.8579868852135226
9.75,0.0115,0.8422243485702301,0.0085495135891351,0.8265450998578908,0.859091297216916
7.75,0.0125,0.842191535336903,0.0085053177617456,0.8278026231155243,0.8584694988284327
7.5,0.012,0.8421125776011597,0.0083159114275762,0.8289784578210954,0.8590904507810138
7.5,0.0125,0.8420991603008865,0.0080518173742881,0.8278026231155243,0.857928559591911
8.0,0.0115,0.8420764588436958,0.0085430995613814,0.8289208396879137,0.85964004823459
7.75,0.0115,0.8420086340638143,0.0083662095627876,0.8288429881627619,0.8590344462908516
7.5,0.0115,0.841527955936467,0.0085678211564619,0.827922453363029,0.8590233876511668
